id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
49821951,Home in Copenhagen,7519280,Amit,Amager Vest,55.6371,12.575011,Entire home/apt,656.0,3,13,2025-02-16,0.32,2,6,1
49834715,Super central and spacious apartment with balcony,393890564,Kamal,Nørrebro,55.68243,12.55433,Entire home/apt,1666.0,3,21,2025-09-29,0.62,1,171,5
49854516,Beautiful house near the beach,15861252,Nicholas,Amager Øst,55.64937,12.62527,Entire home/apt,1519.0,3,23,2025-08-01,0.45,2,17,4
49922503,Stay in the heart of historic Copenhagen,434767012,Tanja,Indre By,55.680218,12.590206,Entire home/apt,2464.0,4,67,2025-09-01,1.31,2,365,5
49958882,Hyggelig lejlighed i Kbh “børne- og dyrevenlig”,100796923,Tanja,Vanløse,55.69282,12.48456,Entire home/apt,800.0,5,15,2025-08-04,0.29,1,86,5
49967126,One-of-a-kind in the oldest part of Copenhagen - Y,10376043,Thomas,Indre By,55.679474,12.575471,Private room,540.0,3,56,2025-06-26,1.1,3,55,15
49974710,Authentic Copenhagen stay in old Christiansharbour,6028490,Tommy,Indre By,55.67074,12.59306,Entire home/apt,900.0,2,23,2025-08-06,0.8,1,26,6
49976620,Best location in Copenhagen close to everything,18480401,Sabina,Vesterbro-Kongens Enghave,55.67099,12.55758,Entire home/apt,1772.0,4,46,2025-08-02,0.88,2,15,4
49993770,Pretty and renovated apartment in quiet area,403184911,Tonni,Vesterbro-Kongens Enghave,55.664915269913344,12.541295317174391,Entire home/apt,1048.0,12,34,2025-08-05,0.66,1,155,8
50000305,250 m2 luksus villa midt i byen,238273369,Rasmus,Frederiksberg,55.67554,12.54595,Entire home/apt,3339.0,3,22,2025-08-02,0.43,1,62,4
50015425,Relax hard just minutes from the beach,5531349,Ramsin,Østerbro,55.71253,12.57602,Entire home/apt,4169.0,2,9,2025-08-20,0.2,1,358,3
50015520,"Smuk, stor lejlighed i centrum 2 min fra havnebad",17517155,Sanne,Indre By,55.67071,12.57612,Entire home/apt,2674.0,2,24,2025-08-04,0.47,1,42,8
50016050,Skøn lejlighed i centrum,1470655,Sanne,Vesterbro-Kongens Enghave,55.66973625696489,12.554162803034188,Entire home/apt,1600.0,3,2,2025-08-18,0.94,1,340,2
50019887,Fantastisk familiebolig 15 min fra Rådhuspladsen,13741906,Gitte,Vanløse,55.69046,12.4933,Entire home/apt,1205.0,5,20,2025-08-02,0.39,1,10,2
50028075,Lovely apartment in the center of Nørrebro,38325204,Sarina,Nørrebro,55.6993,12.54772,Entire home/apt,1050.0,20,6,2024-10-01,0.12,1,294,1
50029291,Cozy penthouse in trendy Nørrebro,157136943,Thomas,Nørrebro,55.69232,12.5449,Entire home/apt,822.0,2,35,2025-09-15,0.68,1,23,10
50051850,One-of-a-kind in the oldest part of Copenhagen - B,10376043,Thomas,Indre By,55.67873,12.5746,Private room,495.0,3,53,2025-08-31,1.33,3,56,19
50062429,Skøn og lys lejlighed med pejs og terrasse!,100997828,Andrea,Nørrebro,55.69136,12.55975,Entire home/apt,1620.0,2,28,2025-08-31,0.55,1,362,5
50107830,Private rooms in a hostel with shared bathroom,404272389,Sleep In Heaven,Nørrebro,55.686911690221656,12.549039550443494,Private room,821.0,1,3,2024-11-24,0.17,2,68,1
50114490,"Central, lys og lækker lejlighed",5528601,Morten,Nørrebro,55.69226402334584,12.564107799437554,Entire home/apt,1860.0,4,18,2025-07-14,0.6,1,77,4
50129088,"Luxury apartment,  with perfect location in CPH",243593894,Tina,Østerbro,55.6975282,12.5948946,Entire home/apt,2250.0,5,10,2025-09-17,0.25,1,142,4
50141504,Bo i hjertet af Islands Brygge tæt på vandet,205435711,Olivia,Amager Vest,55.66453,12.57756,Entire home/apt,2400.0,2,32,2025-08-30,0.63,2,82,11
50148186,Spacious and cosy family villa close to everything,3289357,Karl & Maiken,Vanløse,55.69088,12.49257,Entire home/apt,4518.0,2,34,2025-08-02,0.84,1,63,9
50152169,"Fantastisk lokation, skøn 5 lejlighed, ren og pæn.",404724642,Rune,Amager Øst,55.65894,12.63127,Entire home/apt,3500.0,3,5,2024-06-18,0.12,1,365,0
50171635,Idyllic heart of historic Copenhagen.,434767012,Tanja,Indre By,55.680321,12.590538,Entire home/apt,2940.0,4,35,2025-04-20,0.84,2,365,1
50201985,Super cozy house close to the city and sea,10638234,Tina,Amager Vest,55.63971,12.59602,Entire home/apt,1463.0,5,7,2025-08-01,0.14,1,65,1
50202756,Spacious apartment near parks and the city center,19348874,Anna,Vesterbro-Kongens Enghave,55.66452,12.54125,Entire home/apt,935.0,2,22,2025-09-14,0.52,1,3,3
